replacement,hierarchy,trace,ipc
lfru,l3exclusive,bc-5.trace.gz,0.175317
lfru,l3exclusive,bfs-10.trace.gz,0.263513
lfru,l3exclusive,bfs-14.trace.gz,0.281594
lfru,l3exclusive,bfs-3.trace.gz,0.274697
lfru,l3exclusive,bfs-8.trace.gz,0.278412
lfru,l3exclusive,cc-13.trace.gz,0.15193
lfru,l3exclusive,cc-14.trace.gz,0.178064
lfru,l3exclusive,cc-5.trace.gz,0.198995
lfru,l3exclusive,cc-6.trace.gz,0.144179
lfru,l3exclusive,pr-10.trace.gz,0.038782
lfru,l3exclusive,pr-14.trace.gz,0.0394057
lfru,l3exclusive,pr-3.trace.gz,0.0385206
lfru,l3exclusive,pr-5.trace.gz,0.0388813
lfru,l3exclusive,sssp-10.trace.gz,0.271678
lfru,l3exclusive,sssp-14.trace.gz,0.271457
lfru,l3exclusive,sssp-3.trace.gz,0.269435
lfru,l3exclusive,sssp-5.trace.gz,0.270969
lfru,l3inclusive,bc-0.trace.gz,0.120143
lfru,l3inclusive,bc-12.trace.gz,0.114365
lfru,l3inclusive,bc-3.trace.gz,0.139297
lfru,l3inclusive,bc-5.trace.gz,0.189743
lfru,l3inclusive,bfs-10.trace.gz,0.270066
lfru,l3inclusive,bfs-14.trace.gz,0.29722
lfru,l3inclusive,bfs-3.trace.gz,0.284358
lfru,l3inclusive,bfs-8.trace.gz,0.294595
lfru,l3inclusive,cc-13.trace.gz,0.199447
lfru,l3inclusive,cc-14.trace.gz,0.232932
lfru,l3inclusive,cc-5.trace.gz,0.258849
lfru,l3inclusive,cc-6.trace.gz,0.190205
lfru,l3inclusive,pr-10.trace.gz,0.0429963
lfru,l3inclusive,pr-14.trace.gz,0.0426913
lfru,l3inclusive,pr-3.trace.gz,0.0427726
lfru,l3inclusive,pr-5.trace.gz,0.043195
lfru,l3inclusive,sssp-10.trace.gz,0.361412
lfru,l3inclusive,sssp-14.trace.gz,0.360796
lfru,l3inclusive,sssp-3.trace.gz,0.359279
lfru,l3inclusive,sssp-5.trace.gz,0.360341
lfru,cache,bc-0.trace.gz,0.120267
lfru,cache,bc-12.trace.gz,0.116958
lfru,cache,bc-3.trace.gz,0.139146
lfru,cache,bc-5.trace.gz,0.196916
lfru,cache,bfs-10.trace.gz,0.266123
lfru,cache,bfs-14.trace.gz,0.287645
lfru,cache,bfs-3.trace.gz,0.280748
lfru,cache,bfs-8.trace.gz,0.28599
lfru,cache,cc-13.trace.gz,0.201329
lfru,cache,cc-14.trace.gz,0.234168
lfru,cache,cc-5.trace.gz,0.259096
lfru,cache,cc-6.trace.gz,0.191672
lfru,cache,pr-10.trace.gz,0.0430524
lfru,cache,pr-14.trace.gz,0.0427525
lfru,cache,pr-3.trace.gz,0.0427993
lfru,cache,pr-5.trace.gz,0.0432578
lfru,cache,sssp-10.trace.gz,0.338689
lfru,cache,sssp-14.trace.gz,0.338455
lfru,cache,sssp-3.trace.gz,0.335394
lfru,cache,sssp-5.trace.gz,0.337287
fifo,l3exclusive,bc-0.trace.gz,0.135735
fifo,l3exclusive,bc-12.trace.gz,0.132027
fifo,l3exclusive,bc-3.trace.gz,0.157031
fifo,l3exclusive,bc-5.trace.gz,0.208691
fifo,l3exclusive,bfs-10.trace.gz,0.262584
fifo,l3exclusive,bfs-14.trace.gz,0.280197
fifo,l3exclusive,bfs-3.trace.gz,0.273804
fifo,l3exclusive,bfs-8.trace.gz,0.280793
fifo,l3exclusive,cc-13.trace.gz,0.209255
fifo,l3exclusive,cc-14.trace.gz,0.241003
fifo,l3exclusive,cc-5.trace.gz,0.265757
fifo,l3exclusive,cc-6.trace.gz,0.198347
fifo,l3exclusive,pr-10.trace.gz,0.0644195
fifo,l3exclusive,pr-14.trace.gz,0.0688346
fifo,l3exclusive,pr-3.trace.gz,0.0623551
fifo,l3exclusive,pr-5.trace.gz,0.0647027
fifo,l3exclusive,sssp-10.trace.gz,0.321829
fifo,l3exclusive,sssp-14.trace.gz,0.322403
fifo,l3exclusive,sssp-3.trace.gz,0.31825
fifo,l3exclusive,sssp-5.trace.gz,0.320587
fifo,l3inclusive,bc-0.trace.gz,0.133501
fifo,l3inclusive,bc-12.trace.gz,0.128401
fifo,l3inclusive,bc-3.trace.gz,0.152767
fifo,l3inclusive,bc-5.trace.gz,0.208712
fifo,l3inclusive,bfs-10.trace.gz,0.265022
fifo,l3inclusive,bfs-14.trace.gz,0.287582
